grad_str,grad_duration,delta,b,avg,duration,v11,v12,v13,v14,v15
0.05, 50, 200, 104.46, 0.002852, 2757.277611732483, 0.001337, 0.000923, 0.001113, 0.001147, 0.001184
0.01, 200, 0, 38.37, 0.002792, 3153.766492128372, 0.001623, 0.000823, 0.000339, 0.000824, 0.001976
0.05, 100, 200, 477.77, 0.002907, 3513.2619302272797, 0.0012, 0.001132, 0.001141, 0.001275, 0.001065
0.01, 400, 0, 306.92, 0.003165, 6228.021419763565, 0.001499, 0.001265, 0.001219, 0.000936, 0.001411
0.02, 100, 0, 19.18, 0.004046, 1615.2101571559906, 0.002432, 0.001522, 0.001468, 0.001428, 0.001242
0.05, 200, 200, 2390.66, 0.000607, 5162.452613353729, 0.000331, 0.000215, 6.2e-05, 5.1e-05, 0.000554
0.1, 10, 200, 14.79, 0.002205, 2155.56720328331, 0.000123, 0.00015, 0.001891, 0.001836, 0.00041
0.02, 200, 0, 153.46, 0.003092, 3112.698251724243, 0.00139, 0.001151, 0.001244, 0.001196, 0.001203
0.1, 20, 200, 61.1, 0.002957, 2243.93789935112, 0.001092, 0.000954, 0.001373, 0.001211, 0.001284
0.1, 50, 200, 417.83, 0.002995, 2680.2441985607147, 0.001105, 0.001154, 0.001331, 0.001211, 0.00119
0.05, 400, 0, 1227.68, 0.003001, 6230.822702884674, 0.001088, 0.000793, 0.002488, 0.000608, 0.001026
0.1, 100, 200, 1911.1, 0.001969, 3435.974294424057, 0.000788, 0.001006, 0.000426, 0.000578, 0.001138
0.035, 100, 0, 58.75, 0.003002, 1606.4986107349396, 0.001214, 0.0012, 0.001022, 0.001197, 0.001371
0.2, 10, 200, 59.18, 0.003102, 1943.9989655017853, 0.00154, 0.001408, 0.001208, 0.000956, 0.001091
0.035, 200, 0, 469.97, 0.002913, 3110.759531736374, 0.001237, 0.001218, 0.001209, 0.00109, 0.001071
0.05, 50, 0, 14.99, 0.002847, 845.8552112579346, 0.001155, 0.001314, 0.001021, 0.001154, 0.001051
0.2, 20, 200, 244.39, 0.003017, 2115.0976717472076, 0.001151, 0.001284, 0.001192, 0.001281, 0.001125
0.05, 100, 0, 119.89, 0.002979, 1614.4001491069794, 0.001188, 0.001218, 0.001094, 0.001225, 0.001233
0.2, 50, 200, 1671.31, 0.002372, 2625.0545539855957, 0.000572, 0.000873, 0.001306, 0.001118, 0.000874
0.05, 200, 0, 959.13, 0.002873, 3163.8245491981506, 0.001136, 0.001212, 0.001193, 0.001081, 0.001125
0.1, 50, 0, 59.95, 0.002838, 856.7461295127869, 0.000982, 0.00101, 0.001222, 0.001222, 0.00124
0.1, 100, 0, 479.56, 0.002893, 1657.5037634372711, 0.001158, 0.001095, 0.001217, 0.001123, 0.001192
0.2, 20, 0, 15.35, 0.002472, 393.93172430992126, 0.000919, 0.000908, 0.001211, 0.000724, 0.001182
0.01, 100, 400, 33.43, 0.003998, 5078.305165052414, 0.000853, 0.002367, 0.000764, 0.001811, 0.002201
0.2, 50, 0, 239.78, 0.002795, 869.6372804641724, 0.001141, 0.001086, 0.001149, 0.001121, 0.001093
0.2, 100, 0, 1918.25, 0.002871, 1610.4874410629272, 0.001581, 0.000931, 0.000683, 0.001177, 0.00137
0.01, 200, 10, 41.23, 0.002937, 3219.579892396927, 0.000841, 0.000913, 0.001061, 0.001899, 0.00116
