grad_str,grad_duration,delta,b,avg,duration,v8,v9,v10
0.2, 10, 200, 59.18, 0.001592, 1150.26318526268, 0.000858, 0.001241, 0.001085
0.2, 20, 200, 244.39, 0.001681, 1281.7062194347382, 0.001102, 0.001167, 0.001094
0.01, 200, 0, 38.37, 0.001441, 2648.3462014198303, 0.000221, 0.001417, 0.001243
0.2, 50, 200, 1671.31, 0.001365, 1704.2535605430603, 0.000744, 0.000701, 0.001285
0.01, 400, 0, 306.92, 0.00179, 4756.813679456711, 0.001327, 0.001008, 0.001245
0.01, 100, 400, 33.43, 0.001823, 3335.865123271942, 0.001319, 0.001789, 0.000537
0.02, 100, 0, 19.18, 0.00221, 1312.2333562374115, 0.002002, 0.001005, 0.001413
0.02, 200, 0, 153.46, 0.001571, 2333.407479763031, 0.001049, 0.001016, 0.001076
0.01, 200, 400, 152.89, 0.001936, 4142.922342300415, 0.001573, 0.001277, 0.001022
0.05, 400, 0, 1227.68, 0.001195, 4380.181049108505, 0.000655, 0.000866, 0.00087
0.035, 100, 0, 58.75, 0.001901, 1254.34042263031, 0.001245, 0.001256, 0.001302
0.01, 400, 400, 765.01, 0.001662, 6357.220654010773, 0.001011, 0.001085, 0.001228
0.035, 200, 0, 469.97, 0.001788, 2558.0587034225464, 0.001262, 0.001127, 0.001188
0.05, 50, 0, 14.99, 0.002315, 603.7649502754211, 0.001722, 0.001567, 0.00134
0.02, 50, 400, 31.03, 0.002857, 2576.365458011627, 0.001512, 0.002649, 0.001554
0.05, 100, 0, 119.89, 0.001617, 1209.6527349948883, 0.001224, 0.000981, 0.00103
0.05, 200, 0, 959.13, 0.001694, 2286.95654630661, 0.001063, 0.001233, 0.001092
0.02, 100, 400, 133.71, 0.001718, 3166.2833502292633, 0.000959, 0.001436, 0.00104
0.1, 50, 0, 59.95, 0.001655, 716.7230396270752, 0.00133, 0.000952, 0.001029
0.1, 100, 0, 479.56, 0.001851, 1261.6163094043732, 0.001261, 0.001222, 0.00122
0.2, 20, 0, 15.35, 0.001883, 268.39981722831726, 0.001308, 0.001156, 0.001301
0.2, 50, 0, 239.78, 0.001642, 644.0955245494843, 0.001043, 0.001123, 0.001117
0.2, 100, 0, 1918.25, 0.001379, 1148.8895797729492, 0.001101, 0.000862, 0.000795
0.02, 200, 400, 611.55, 0.001766, 4127.552530288696, 0.001257, 0.001364, 0.000911
0.01, 200, 10, 41.23, 0.002134, 2371.7950432300568, 0.001575, 0.001346, 0.001347
0.02, 400, 400, 3060.04, -0.000235, 6457.037633419037, -0.000182, 3.5e-05, -0.000323
0.02, 100, 10, 22.05, 0.001734, 1254.0602586269379, 0.001477, 0.00171, 0.000282
0.035, 20, 400, 14.5, 0.001638, 2274.374835729599, 0.002806, 0.000348, 0.000121
0.02, 200, 10, 164.91, 0.0017, 2153.6631202697754, 0.00123, 0.000855, 0.001315
